Country,ISO3,Year,Stunting_Prevalence,Overweight_Prevalence,Stunting_Risk,Overweight_Risk,GDP_per_Capita,Poverty_Rate,Fertility_Rate,Urban_Population_Percent,Female_Literacy_Rate,Male_Literacy_Rate
Honduras,HND,2013,21.2,5.1,1,0,2081.12843527945,20.8,2.855,53.356379133253,85.2799987792969,85.6699981689453
Honduras,HND,2014,20.8,5.1,1,0,2179.88171977271,20.6,2.793,53.8768089124249,87.0299987792969,87.4000015258789
Honduras,HND,2015,20.5,5.1,1,0,2271.20265980349,19.9,2.746,54.3828473751434,87.8899993896484,87.9199981689453
Honduras,HND,2016,20.3,5.1,1,0,2307.34468351082,19.8,2.704,54.8868414578857,88.9300003051758,89.0500030517578
Honduras,HND,2018,19.4,5.0,0,0,2464.64241531918,19.8,2.645,55.8852577716247,87.2699966430664,87.1399993896484
Honduras,HND,2019,18.9,4.9,0,0,2502.32744328073,18.8,2.611,56.3791561389766,88.7300033569336,88.25
Honduras,HND,2023,18.0,4.4,0,0,3227.45762509776,17.0,2.5,58.3132392705102,87.2799987792969,86.879997253418
India,IND,2011,42.7,2.1,2,0,1445.46127486037,27.1,2.532,31.2746502853309,59.2799987792969,78.879997253418
India,IND,2022,33.0,3.1,2,0,2347.44829434623,5.3,1.994,34.7555673994206,69.0999984741211,83.4499969482422
Indonesia,IDN,2004,39.6,4.6,2,0,1126.84004447173,45.4,2.415,45.4476736441888,86.8000030517578,94.0400009155273
Indonesia,IDN,2006,39.6,5.6,2,0,1558.31562847163,46.8,2.457,47.0017588692457,88.7900009155273,95.1600036621094
Indonesia,IDN,2008,38.7,6.7,2,0,2124.55483920618,38.0,2.44,48.4644736032029,89.0999984741211,95.379997253418
Indonesia,IDN,2009,38.0,7.2,2,0,2218.48541852977,37.9,2.442,49.16775798133,89.6800003051758,95.6500015258789
Indonesia,IDN,2010,37.0,7.6,2,0,3065.68348377765,34.1,2.462,49.8521375148888,89.8899993896484,94.7600021362305
Indonesia,IDN,2011,35.8,8.0,2,0,3579.46442466152,31.2,2.515,50.4830017089844,90.0699996948242,95.5899963378906
Indonesia,IDN,2014,32.2,8.5,2,0,3441.06808464008,25.7,2.393,52.5002136230469,93.4499969482422,96.7900009155273
Indonesia,IDN,2015,31.0,8.4,2,0,3288.22269725538,21.6,2.346,53.1720771789551,93.3399963378906,97.1100006103516
Indonesia,IDN,2016,29.8,8.2,1,0,3521.46943457574,18.0,2.311,53.812557220459,93.5899963378906,97.1699981689453
Indonesia,IDN,2018,27.3,7.2,1,0,3860.95353090726,12.5,2.219,55.0956840515137,93.9899978637695,97.3300018310547
Indonesia,IDN,2020,25.1,5.7,1,0,3853.70288774146,9.8,2.189,56.2785287648768,94.5500030517578,97.4499969482422
Iraq,IRQ,2012,19.8,10.3,0,1,6477.59618450955,0.6,4.544,69.2222213745117,69.0,85.9000015258789
Jordan,JOR,2010,8.2,5.9,0,0,3718.46571622945,0.1,3.78,82.2601083887084,89.2099990844727,95.7699966430664
Kazakhstan,KAZ,2009,13.6,12.6,0,1,6938.01175663001,0.8,2.58,54.1167144748885,99.6800003051758,99.7900009155273
Latvia,LVA,2011,2.2,5.9,0,0,12902.574053337,1.7,1.33,67.8266897008267,99.9100036621094,99.879997253418
Lithuania,LTU,2001,2.8,4.5,0,0,3532.52787363242,1.6,1.29,66.9286097501613,99.6500015258789,99.6399993896484
Lithuania,LTU,2011,1.9,4.4,0,0,14261.8433787325,0.9,1.55,66.7518340055756,99.8300018310547,99.7900009155273
Madagascar,MDG,2012,48.2,1.6,2,0,493.511162904211,67.3,4.613,28.3988032871081,68.2799987792969,75.0299987792969
Madagascar,MDG,2021,39.3,1.5,2,0,483.469463351195,69.2,4.104,31.1137123216036,71.75,77.9000015258789
Malaysia,MYS,2018,20.8,5.9,1,0,10901.8019954421,0.0,1.838,74.5634625145296,93.5,96.120002746582
Maldives,MDV,2016,15.3,5.0,0,0,9947.80744731739,0.1,1.903,38.9560872317815,98.1100006103516,97.3000030517578
Maldives,MDV,2019,14.3,4.3,0,0,11740.2724029785,0.0,1.64,40.0492764783282,98.2600021362305,98.1600036621094
Mali,MLI,2006,35.6,2.0,2,0,586.985415515264,64.0,6.677,21.2987608960246,18.1900005340576,34.8600006103516
Mali,MLI,2018,24.9,1.0,1,0,996.379292136901,29.4,6.118,27.6999185916288,25.7399997711182,46.1800003051758
Malta,MLT,2011,5.4,8.1,0,0,23516.9691234302,0.2,1.45,94.3155916422812,94.7900009155273,91.7900009155273
Marshall Islands,MHL,2019,32.1,4.3,2,0,5292.33985502306,2.1,3.012,76.9422712042154,97.620002746582,98.75
Mauritania,MRT,2000,39.2,3.3,2,0,680.911061879778,30.7,5.456,38.0555858542174,43.4199981689453,59.5400009155273
Mauritius,MUS,2012,8.2,5.1,0,0,9421.52514098225,1.1,1.54,40.0369511615085,88.9800033569336,94.6500015258789
Mexico,MEX,2000,20.3,7.3,1,0,7524.0271380091,16.3,2.714,74.9203113970256,88.6800003051758,92.5599975585938
Mexico,MEX,2002,19.0,7.3,0,0,7983.03398381759,12.8,2.633,75.6840752828994,88.7300033569336,92.0
Mexico,MEX,2004,17.6,7.1,0,0,7849.66759649565,11.0,2.536,76.3274397419019,89.629997253418,92.4499969482422
Mexico,MEX,2005,17.0,7.1,0,0,8671.75891885163,11.7,2.495,76.4748624380269,90.2099990844727,93.1900024414062
Mexico,MEX,2006,16.5,7.0,0,0,9512.63575346699,9.0,2.456,76.4982455683657,89.8300018310547,93.9000015258789
Mexico,MEX,2008,15.3,6.9,0,0,10523.7685403244,10.1,2.391,76.5090428271033,91.4499969482422,94.5899963378906
Mexico,MEX,2010,14.1,6.8,0,0,9728.80078377082,8.4,2.34,76.5244441414713,91.8499984741211,94.379997253418
Mexico,MEX,2012,13.2,6.8,0,0,10744.1335242686,7.3,2.294,76.6585199140734,93.1800003051758,95.3899993896484
Mexico,MEX,2014,12.7,6.7,0,0,11391.3773497683,7.2,2.211,76.9741367091766,93.5899963378906,95.620002746582
Mexico,MEX,2016,12.6,6.7,0,0,9097.92397674769,4.4,2.086,77.4405087351486,93.9700012207031,95.8399963378906
Mexico,MEX,2018,12.7,6.7,0,0,10084.7937562021,3.9,2.03,78.0271223924494,94.6100006103516,96.2300033569336
Mexico,MEX,2020,12.6,6.8,0,0,8841.27075039868,4.3,1.99,78.677960602824,94.5,96.0599975585938
Mexico,MEX,2022,12.9,7.0,0,0,11405.7940473759,2.3,1.94,79.199683215791,95.2146036640058,96.5620035726989
Mongolia,MNG,2010,14.9,9.9,0,0,2625.21881402433,3.5,2.4,67.8298018313254,98.3399963378906,98.1699981689453
Mongolia,MNG,2018,8.6,10.9,0,1,4107.64288528468,1.7,2.9,67.8683444833372,98.0,95.6699981689453
Mongolia,MNG,2022,7.4,11.7,0,1,4993.51487463495,0.4,2.7,69.783805847168,98.9100036621094,98.5199966430664
